Ref,Study,Type,Cranium,Mandible,Cervical,Thoracic,Lumbar,Sacrum,Sternum,Clavicle,Rib,Scapula,Humerus,Radius,Ulna,Carpal,Metacarpal,Innominate,Femur,Patella,Tibia,Fibula,Tarsal,Metatarsal,Hand phalanx,Foot phalanx,Hand (metacarpals + manual phalanges),Foot (metatarsals + pedal phalanges)
Hummingbird_Pueblo_Pueblo_I,Hummingbird_Pueblo_Pueblo_I_4202,Primary hominin interment,1,1,7,12,5,1,1,2,24,2,2,2,2,14,10,2,2,2,2,2,11,7,28,0,38,7
Hummingbird_Pueblo_Pueblo_I,Hummingbird_Pueblo_Pueblo_I_4203,Primary hominin interment,1,1,7,12,5,1,1,2,24,2,2,2,2,14,10,2,2,2,2,2,14,10,26,0,36,10
Hummingbird_Pueblo_Pueblo_I,Hummingbird_Pueblo_Pueblo_I_4205,Primary hominin interment,1,1,7,12,5,1,1,2,24,2,2,2,2,16,10,2,2,2,2,2,14,10,28,0,38,10
Hummingbird_Pueblo_Pueblo_I,Hummingbird_Pueblo_Pueblo_I_7101,Primary hominin interment,1,1,2,12,0,1,1,2,24,2,2,2,2,10,8,2,2,2,2,2,10,5,14,0,22,5
Hummingbird_Pueblo_Pueblo_I,Hummingbird_Pueblo_Pueblo_I_7501,Primary hominin interment,1,1,0,9,5,1,1,2,18,2,2,2,2,0,5,2,2,1,2,2,10,6,6,0,11,6
Hummingbird_Pueblo_Pueblo_I,Hummingbird_Pueblo_Pueblo_I_79,Primary hominin interment,1,1,7,12,5,1,1,2,24,2,2,2,2,16,10,2,2,2,2,2,14,10,28,11,38,21
Pottery_Mound_Pueblo_IV,Pottery_Mound_Pueblo_IV,Primary hominin interment,38,34,254,452,193,39,0,81,901,78,73,77,74,520,416,77,86,68,66,68,434,390,811,423,1227,813
Kuaua_Pueblo_Pueblo_IV,Kuaua_Pueblo_Pueblo_IV,Primary hominin interment,68,64,288,534,252,52,0,103,993,105,129,121,109,388,472,120,133,77,121,104,572,448,721,423,1193,871
Dolni_Vestonice_I_DV_3,Dolni_Vestonice_I_DV_3,Primary hominin interment,1,1,7,12,5,1,0,2,24,2,2,2,2,8,10,2,2,2,2,2,7,4,14,6,24,10
Dolni_Vestonice_II_Triple_Burial,Dolni_Vestonice_II_Triple_Burial_DV_13,Primary hominin interment,1,1,7,12,5,1,1,2,24,2,2,2,2,0,3,2,2,2,2,2,2,0,8,0,11,0
Dolni_Vestonice_II_Triple_Burial,Dolni_Vestonice_II_Triple_Burial_DV_15,Primary hominin interment,1,1,7,12,5,1,1,2,23,2,2,2,2,4,4,2,2,2,2,2,7,7,8,3,12,10
Skhul_Layer_B,Skhul_Layer_B_Skhul_II,Possible Primary hominin interment,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Skhul_Layer_B,Skhul_Layer_B_Skhul_III,Possible Primary hominin interment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
